Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-05-20,Mia madre,2015,https://boxd.it/19FKrD,3,,,2020-05-19
2020-05-21,Equinox Flower,1958,https://boxd.it/19MNpJ,4,,medeiafilmes,2020-05-20
2020-05-27,Soul in the Eye,1973,https://boxd.it/1atWcv,4.5,,youtube,2020-05-26
2020-05-31,Mission Persephone,2020,https://boxd.it/1aTvgn,2,,,2020-05-30
2020-05-31,Republic,2020,https://boxd.it/1aTSvb,4.5,,,2020-05-30
2020-05-31,Sky Over Water,1978,https://boxd.it/1aU4KH,3.5,,,2020-05-30
2020-06-01,The Distance Between Us and the Sky,2019,https://boxd.it/1b0EXT,2,,,2020-05-31
2020-06-01,Cru,2019,https://boxd.it/1b0JvP,1.5,,,2020-05-31
2020-06-01,Circus Person,2020,https://boxd.it/1b15EJ,2.5,,,2020-05-31
2020-06-01,Bird Karma,2018,https://boxd.it/1b1aUx,2,,,2020-05-31
2020-06-01,Marooned,2019,https://boxd.it/1b1zDh,3,,,2020-05-31
2020-06-01,Bilby,2018,https://boxd.it/1b1DjZ,3,,,2020-05-31
2020-06-02,And Then the Bear,2019,https://boxd.it/1b6xPv,3,,,2020-06-01
2020-06-02,Tokyo Story,1953,https://boxd.it/1b7MNr,3,,off,2020-06-01
2020-06-02,PLAGUE INC.,2020,https://boxd.it/1b8blx,1,,,2020-06-01
2020-06-03,Beatles Electroniques,1969,https://boxd.it/1bbJJ5,,,,2020-06-02
2020-06-03,Mona Lisa,1973,https://boxd.it/1bbLLR,,,,2020-06-02
2020-06-03,Atman,1975,https://boxd.it/1bbTdj,,,,2020-06-02
2020-06-03,The Last Portrait,2016,https://boxd.it/1bcG2J,2,,,2020-06-02
2020-06-04,Parasite,2019,https://boxd.it/1biglH,3.5,,off,2020-06-03
2020-06-05,The Girl Who Danced with the Devil,2016,https://boxd.it/1bqh8b,3,,,2020-06-04
2020-06-11,Foli,2010,https://boxd.it/1c44xx,4,,,2020-06-09
2020-06-12,Amores Perros,2000,https://boxd.it/1cbkjZ,4,,off,2020-06-11
2020-06-16,Psycho,1960,https://boxd.it/1czSIR,4.5,,tv,2020-06-15
2020-06-16,Paisagem é Narrativa,2020,https://boxd.it/1cC4mR,1.5,,,2020-06-15
2020-06-16,Rabbits,2002,https://boxd.it/1cCcLF,3,,,2020-06-15
2020-06-16,Fire,2015,https://boxd.it/1cCghp,1.5,,,2020-06-15
2020-06-17,Querida Mamãe,2017,https://boxd.it/1cKTIZ,0.5,,tv,2020-06-17
2020-06-19,In the Heart of the World,2019,https://boxd.it/1cSpVv,2,,,2020-06-18
"2020-06-20,Neon Bull,2015,https://boxd.it/1cZtzx,3.5,Yes,""off, tv"",2020-06-19"
2020-06-21,The Story of Fausta,1988,https://boxd.it/1d2Dhz,1,,,2020-06-20
2020-06-23,Maria,2018,https://boxd.it/1dgoLn,4,,,2020-06-22
2020-06-23,Malaria,2013,https://boxd.it/1dgoP5,4,,,2020-06-22
2020-06-23,Kbela,2015,https://boxd.it/1dhoe1,5,,,2020-06-22
2020-06-24,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/1dm6QL,2.5,,,2020-06-23
2020-06-25,Island,2018,https://boxd.it/1duRT9,4.5,,,2020-06-24
2020-06-25,To the End,2020,https://boxd.it/1duS0J,3.5,,,2020-06-24
2020-06-28,Meu Preço,2018,https://boxd.it/1dMrfD,2.5,,,2020-06-27
2020-06-29,Guaxuma,2018,https://boxd.it/1dR3PH,5,,,2020-06-28
2020-06-29,ELEGGUA,2018,https://boxd.it/1dTGWB,3,,,2020-06-28
2020-06-29,Esta Não é a Sua Vida,1991,https://boxd.it/1dTK15,4,,vimeo,2020-06-28
2020-06-29,The Day Dorival Faced the Guards,1986,https://boxd.it/1dTKYh,5,,vimeo,2020-06-28
2020-06-29,Madame Satã,2002,https://boxd.it/1dTLKF,3.5,,off,2020-06-28
2020-06-30,Foreign Land,1995,https://boxd.it/1dY8S1,5,,off,2020-06-29
2020-07-01,A Starry Sky,1996,https://boxd.it/1e5gsT,1.5,,,2020-06-30
2020-07-01,Ossos,2014,https://boxd.it/1e5orf,0.5,,,2020-06-30
2020-07-01,We Are All Here,2016,https://boxd.it/1e5w8Z,5,,,2020-06-30
2020-07-01,Megalopolis,1973,https://boxd.it/1e5wEB,4,,vimeo,2020-06-30
2020-07-01,Fantasma da Saudade no Vale da Morte,2016,https://boxd.it/1e5xvb,1,,vimeo,2020-06-30
2020-07-01,Eye for an Eye,1966,https://boxd.it/1e5xGN,2.5,,youtube,2020-06-30
2020-07-04,O Sanduíche,2000,https://boxd.it/1emLUN,4,,,2020-07-03
2020-07-04,Guida,2015,https://boxd.it/1en0GV,5,,,2020-07-03
2020-07-05,Rota de Fuga,2017,https://boxd.it/1esesj,2.5,,tv,2020-07-04
2020-07-05,Smoke Gets in Your Eyes,2009,https://boxd.it/1etsBL,1,,primevideo,2020-07-04
2020-07-05,Invisible Life,2019,https://boxd.it/1eu3vZ,4.5,,off,2020-07-04
2020-07-06,Tropicália,2012,https://boxd.it/1eyBzz,4,Yes,,2020-07-05
2020-07-07,The Amulet of Ogum,1974,https://boxd.it/1eHrUF,3,,tv,2020-07-06
2020-07-08,Pariah,2011,https://boxd.it/1eOktV,4,,off,2020-07-07
2020-07-10,Sailor,2014,https://boxd.it/1f0sIX,0.5,,,2020-07-09
2020-07-10,Renovation,2018,https://boxd.it/1f0sWv,2,,,2020-07-09
2020-07-10,Janaína Colorida Feito o Céu,2014,https://boxd.it/1f0t7D,3,,,2020-07-09
2020-07-10,Louça de Deus,2016,https://boxd.it/1f0vDh,2,,,2020-07-09
2020-07-11,1996,2019,https://boxd.it/1f7DdZ,2,,,2020-07-10
