,Timestamp,Qual é o nome do seu cargo? ,Quanto é seu salário mensal? ,Quantos anos você tem experiência na área?,Qual o regime de trabalho? ,"Como PJ, a empresa te obriga a cumprir um horário especificado por ela? ","Como CLT, você é obrigado a fazer horas além do seu horário? ",O que você faz no seu trabalho,Você é responsável por coordenar pessoas? ,Qual é o tamanho da sua empresa? ,Sua empresa é uma consultoria? ,empresa_codigo,localidade
93,29/05/2023 21:48:20,Especialista em desenvolvimento de software,10000.0,4.0,CLT,,Não,Desenvolvimento de novos produtos,Sim,Mais de 1000 funcionários,Sim,-1,SC
94,29/05/2023 22:09:04,QA engineer,18000.0,1.0,PJ,Não,,Gestão de Produtos,Não,Até 500 funcionários,Não,66,ES
95,29/05/2023 22:11:45,Desenvolvedor de Sistemas Junior 1,3000.0,1.0,CLT,,Não,Suporte de sistemas em produção,Não,Até 100 funcionár,Sim,17,RJ
96,29/05/2023 22:13:06,Mid Software Engineer 1,17400.0,4.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Não,-1,SP
97,29/05/2023 22:25:28,Estagiário de TI,1180.0,1.0,CLT,,Não,Suporte de sistemas em produção,Não,Até 500 funcionários,Sim,72,MT
98,29/05/2023 22:25:39,Analista de Sistema Sênior ,12000.0,6.0,CLT,,Não,Desenvolvimento de novos produtos,Sim,Mais de 1000 funcionários,Não,16,PE
99,29/05/2023 22:31:12,Analista de Desenvolvimento Júnior ,5000.0,2.0,CLT,,Sim,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,-1,PE
100,29/05/2023 22:38:44,Analista sênior em desenvolvimento de sistemas,12000.0,8.0,CLT,,Não,Gestão de Projetos,Sim,Mais de 1000 funcionários,Sim,40,AL
101,29/05/2023 22:50:55,Analista de sistemas junior,2556.0,2.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,89,SE
102,29/05/2023 22:56:36,Estagiário em Engenharia de Software ,1470.0,0.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,103,MG
